Year,Area,Item,Value
2003,"China, Hong Kong SAR",Ammonium sulphate,8.51
2004,"China, Hong Kong SAR",Ammonium sulphate,27.42
2005,"China, Hong Kong SAR",Ammonium sulphate,16.7
2006,"China, Hong Kong SAR",Ammonium sulphate,11.35
2008,"China, Hong Kong SAR",Ammonium sulphate,0.45
2009,"China, Hong Kong SAR",Ammonium sulphate,2.82
2010,"China, Hong Kong SAR",Ammonium sulphate,13.99
2011,"China, Hong Kong SAR",Ammonium sulphate,6.92
2012,"China, Hong Kong SAR",Ammonium sulphate,455.54
2013,"China, Hong Kong SAR",Ammonium sulphate,650.34
2014,"China, Hong Kong SAR",Ammonium sulphate,741.09
2015,"China, Hong Kong SAR",Ammonium sulphate,751.39
2016,"China, Hong Kong SAR",Ammonium sulphate,441.35
2017,"China, Hong Kong SAR",Ammonium sulphate,397.24
2013,"China, Hong Kong SAR",Diammonium phosphate (DAP),12.57
2014,"China, Hong Kong SAR",Diammonium phosphate (DAP),30.73
2015,"China, Hong Kong SAR",Diammonium phosphate (DAP),43.52
2016,"China, Hong Kong SAR",Diammonium phosphate (DAP),29.72
2017,"China, Hong Kong SAR",Diammonium phosphate (DAP),34.12
2002,"China, Hong Kong SAR",Fertilizers n.e.c.,471.54
2003,"China, Hong Kong SAR",Fertilizers n.e.c.,330.46
2004,"China, Hong Kong SAR",Fertilizers n.e.c.,417.08
2005,"China, Hong Kong SAR",Fertilizers n.e.c.,428.1
2006,"China, Hong Kong SAR",Fertilizers n.e.c.,152.5
2007,"China, Hong Kong SAR",Fertilizers n.e.c.,32.23
2008,"China, Hong Kong SAR",Fertilizers n.e.c.,1102.51
2009,"China, Hong Kong SAR",Fertilizers n.e.c.,1125.71
2010,"China, Hong Kong SAR",Fertilizers n.e.c.,1348.98
2011,"China, Hong Kong SAR",Fertilizers n.e.c.,1032.12
2012,"China, Hong Kong SAR",Fertilizers n.e.c.,410.78
2013,"China, Hong Kong SAR",Fertilizers n.e.c.,453.67
2014,"China, Hong Kong SAR",Fertilizers n.e.c.,262.57
2015,"China, Hong Kong SAR",Fertilizers n.e.c.,363.22
2016,"China, Hong Kong SAR",Fertilizers n.e.c.,778.43
2017,"China, Hong Kong SAR",Fertilizers n.e.c.,606.67
2002,"China, Hong Kong SAR",Monoammonium phosphate (MAP),0.75
2003,"China, Hong Kong SAR",Monoammonium phosphate (MAP),0.25
2006,"China, Hong Kong SAR",Monoammonium phosphate (MAP),29.73
2009,"China, Hong Kong SAR",Monoammonium phosphate (MAP),256.38
2013,"China, Hong Kong SAR",Monoammonium phosphate (MAP),255.24
2015,"China, Hong Kong SAR",Monoammonium phosphate (MAP),34.66
2002,"China, Hong Kong SAR",NPK fertilizers,298.11
2003,"China, Hong Kong SAR",NPK fertilizers,455.34
2004,"China, Hong Kong SAR",NPK fertilizers,457.63
2005,"China, Hong Kong SAR",NPK fertilizers,1192.95
2006,"China, Hong Kong SAR",NPK fertilizers,374.36
2007,"China, Hong Kong SAR",NPK fertilizers,190.88
2008,"China, Hong Kong SAR",NPK fertilizers,916.78
2009,"China, Hong Kong SAR",NPK fertilizers,829.99
2010,"China, Hong Kong SAR",NPK fertilizers,166.58
2011,"China, Hong Kong SAR",NPK fertilizers,234.28
2012,"China, Hong Kong SAR",NPK fertilizers,370.82
2013,"China, Hong Kong SAR",NPK fertilizers,320.71
2014,"China, Hong Kong SAR",NPK fertilizers,504.01
2015,"China, Hong Kong SAR",NPK fertilizers,325.77
2016,"China, Hong Kong SAR",NPK fertilizers,133.05
2017,"China, Hong Kong SAR",NPK fertilizers,151.66
2002,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",2426.86
2003,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",1612.66
2004,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",1842.07
2005,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",1438.37
2006,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",1833.12
2007,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",1816.63
2008,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",650.11
2009,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",502.26
2010,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",342.69
2011,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",288.86
2012,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",160.76
2013,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",484.26
2014,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",312.54
2015,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",529.99
2016,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",123.47
2017,"China, Hong Kong SAR","Other nitrogenous fertilizers, n.e.c.",278.7
2009,"China, Hong Kong SAR",Other NP compounds,114.83
2011,"China, Hong Kong SAR",Other NP compounds,3.08
2014,"China, Hong Kong SAR",Other NP compounds,7.24
2015,"China, Hong Kong SAR",Other NP compounds,65.2
2011,"China, Hong Kong SAR","Other phosphatic fertilizers, n.e.c.",23.09
2016,"China, Hong Kong SAR","Other potassic fertilizers, n.e.c.",57.97
2017,"China, Hong Kong SAR","Other potassic fertilizers, n.e.c.",109.07
2002,"China, Hong Kong SAR",Phosphate rock,0.09
2003,"China, Hong Kong SAR",Phosphate rock,6.16
2004,"China, Hong Kong SAR",Phosphate rock,2.31
2005,"China, Hong Kong SAR",Phosphate rock,3.53
2006,"China, Hong Kong SAR",Phosphate rock,0.87
2008,"China, Hong Kong SAR",Phosphate rock,0.19
2012,"China, Hong Kong SAR",Phosphate rock,26.82
2017,"China, Hong Kong SAR",Phosphate rock,5.22
2002,"China, Hong Kong SAR",PK compounds,4.45
2003,"China, Hong Kong SAR",PK compounds,4.63
2004,"China, Hong Kong SAR",PK compounds,4.91
2005,"China, Hong Kong SAR",PK compounds,5.23
2006,"China, Hong Kong SAR",PK compounds,4.99
2008,"China, Hong Kong SAR",PK compounds,4.98
2010,"China, Hong Kong SAR",PK compounds,29.64
2013,"China, Hong Kong SAR",PK compounds,5.65
2014,"China, Hong Kong SAR",PK compounds,27.21
2015,"China, Hong Kong SAR",PK compounds,24.86
2016,"China, Hong Kong SAR",PK compounds,155.89
2017,"China, Hong Kong SAR",PK compounds,55.07
2002,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),20.58
2003,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),29.1
2004,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),4.8
2005,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),0.44
2006,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),1.05
2007,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),17.72
2011,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),27.8
2012,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),92.45
2013,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),366.87
2014,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),208.01
2015,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),121.32
2016,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),105.59
2017,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),44.93
2002,"China, Hong Kong SAR",Potassium nitrate,58.42
2003,"China, Hong Kong SAR",Potassium nitrate,78.4
2004,"China, Hong Kong SAR",Potassium nitrate,82.56
2005,"China, Hong Kong SAR",Potassium nitrate,105.57
2006,"China, Hong Kong SAR",Potassium nitrate,185.55
2007,"China, Hong Kong SAR",Potassium nitrate,161.36
2008,"China, Hong Kong SAR",Potassium nitrate,150.95
2009,"China, Hong Kong SAR",Potassium nitrate,283.18
2010,"China, Hong Kong SAR",Potassium nitrate,473.71
2011,"China, Hong Kong SAR",Potassium nitrate,245.33
2012,"China, Hong Kong SAR",Potassium nitrate,275.93
2013,"China, Hong Kong SAR",Potassium nitrate,983.14
2014,"China, Hong Kong SAR",Potassium nitrate,194.18
2015,"China, Hong Kong SAR",Potassium nitrate,316.26
2016,"China, Hong Kong SAR",Potassium nitrate,21.31
2017,"China, Hong Kong SAR",Potassium nitrate,62.92
2005,"China, Hong Kong SAR",Potassium sulphate (sulphate of potash) (SOP),68.17
2006,"China, Hong Kong SAR",Potassium sulphate (sulphate of potash) (SOP),104.7
2007,"China, Hong Kong SAR",Potassium sulphate (sulphate of potash) (SOP),2.62
2008,"China, Hong Kong SAR",Potassium sulphate (sulphate of potash) (SOP),1.62
2009,"China, Hong Kong SAR",Potassium sulphate (sulphate of potash) (SOP),1.42
2002,"China, Hong Kong SAR",Sodium nitrate,183.28
2003,"China, Hong Kong SAR",Sodium nitrate,168.73
2004,"China, Hong Kong SAR",Sodium nitrate,187.3
2005,"China, Hong Kong SAR",Sodium nitrate,139.71
