Year,Area,Item,Value
2013,India,Phosphate rock,1213500.0
2014,India,Phosphate rock,1496600.0
2015,India,Phosphate rock,1355900.0
2016,India,Phosphate rock,860300.0
2006,India,Potassium chloride (muriate of potash) (MOP),0.0
2007,India,Potassium chloride (muriate of potash) (MOP),0.0
2008,India,Potassium chloride (muriate of potash) (MOP),0.0
2006,India,Potassium sulphate (sulphate of potash) (SOP),0.0
2007,India,Potassium sulphate (sulphate of potash) (SOP),0.0
2008,India,Potassium sulphate (sulphate of potash) (SOP),0.0
2013,India,Superphosphates above 35%,0.0
2014,India,Superphosphates above 35%,0.0
2015,India,Superphosphates above 35%,0.0
2016,India,Superphosphates above 35%,0.0
2006,India,"Superphosphates, other",2972000.0
2007,India,"Superphosphates, other",2246300.0
2008,India,"Superphosphates, other",2533600.0
2009,India,"Superphosphates, other",3093000.0
2010,India,"Superphosphates, other",3712800.0
2011,India,"Superphosphates, other",4324000.0
2012,India,"Superphosphates, other",4434900.0
2013,India,"Superphosphates, other",4211500.0
2014,India,"Superphosphates, other",4229600.0
2015,India,"Superphosphates, other",4329600.0
2016,India,"Superphosphates, other",4296800.0
2017,India,"Superphosphates, other",3905900.0
2002,India,Urea,18621200.0
2003,India,Urea,19038300.0
2004,India,Urea,20239200.0
2005,India,Urea,20085100.0
2006,India,Urea,20271200.0
2007,India,Urea,19838800.0
2008,India,Urea,19923200.0
2009,India,Urea,21120700.0
2010,India,Urea,21872500.0
2011,India,Urea,21992300.0
2012,India,Urea,22586600.0
2013,India,Urea,22718700.0
2014,India,Urea,22592900.0
2015,India,Urea,24461300.0
2016,India,Urea,24200800.0
2017,India,Urea,24026.0
2002,Indonesia,Ammonium sulphate,419650.0
2003,Indonesia,Ammonium sulphate,479281.0
2004,Indonesia,Ammonium sulphate,572599.0
2005,Indonesia,Ammonium sulphate,644321.0
2006,Indonesia,Ammonium sulphate,631645.0
2007,Indonesia,Ammonium sulphate,652486.0
2008,Indonesia,Ammonium sulphate,692604.0
2009,Indonesia,Ammonium sulphate,767837.0
2010,Indonesia,Ammonium sulphate,792917.0
2011,Indonesia,Ammonium sulphate,816377.0
2012,Indonesia,Ammonium sulphate,812123.0
2013,Indonesia,Ammonium sulphate,827225.0
2014,Indonesia,Ammonium sulphate,816001.0
2015,Indonesia,Ammonium sulphate,694570.0
2016,Indonesia,Ammonium sulphate,755330.0
2017,Indonesia,Ammonium sulphate,798782.0
2003,Indonesia,Diammonium phosphate (DAP),36739.0
2004,Indonesia,Diammonium phosphate (DAP),11087.0
2002,Indonesia,NPK fertilizers,65469.0
2003,Indonesia,NPK fertilizers,113942.0
2004,Indonesia,NPK fertilizers,212971.0
2005,Indonesia,NPK fertilizers,333132.0
2006,Indonesia,NPK fertilizers,496690.0
2007,Indonesia,NPK fertilizers,746347.0
2008,Indonesia,NPK fertilizers,1194983.0
2009,Indonesia,NPK fertilizers,1838485.0
2010,Indonesia,NPK fertilizers,1853172.0
2011,Indonesia,NPK fertilizers,2213491.0
2012,Indonesia,NPK fertilizers,2893868.0
2014,Indonesia,NPK fertilizers,2716098.0
2015,Indonesia,NPK fertilizers,3001087.0
2016,Indonesia,NPK fertilizers,2764687.0
2017,Indonesia,NPK fertilizers,3282957.0
2008,Indonesia,Potassium sulphate (sulphate of potash) (SOP),4781.0
2009,Indonesia,Potassium sulphate (sulphate of potash) (SOP),7568.0
2010,Indonesia,Potassium sulphate (sulphate of potash) (SOP),8662.0
2011,Indonesia,Potassium sulphate (sulphate of potash) (SOP),2954.0
2012,Indonesia,Potassium sulphate (sulphate of potash) (SOP),8447.0
2014,Indonesia,Potassium sulphate (sulphate of potash) (SOP),8326.0
2015,Indonesia,Potassium sulphate (sulphate of potash) (SOP),7842.0
2016,Indonesia,Potassium sulphate (sulphate of potash) (SOP),10681.0
2017,Indonesia,Potassium sulphate (sulphate of potash) (SOP),15184.0
2002,Indonesia,Superphosphates above 35%,552984.0
2003,Indonesia,Superphosphates above 35%,687657.0
2004,Indonesia,Superphosphates above 35%,738225.0
2005,Indonesia,Superphosphates above 35%,819704.0
2006,Indonesia,Superphosphates above 35%,647868.0
2007,Indonesia,Superphosphates above 35%,660653.0
2008,Indonesia,Superphosphates above 35%,488487.0
2009,Indonesia,Superphosphates above 35%,742986.0
2010,Indonesia,Superphosphates above 35%,636207.0
2011,Indonesia,Superphosphates above 35%,441223.0
2012,Indonesia,Superphosphates above 35%,521486.0
2013,Indonesia,Superphosphates above 35%,517757.0
2014,Indonesia,Superphosphates above 35%,400508.0
2015,Indonesia,Superphosphates above 35%,281579.0
2016,Indonesia,Superphosphates above 35%,464982.0
2017,Indonesia,Superphosphates above 35%,480131.0
2002,Indonesia,Urea,6006221.0
2003,Indonesia,Urea,5731409.0
2004,Indonesia,Urea,5848655.0
2005,Indonesia,Urea,5848655.0
2006,Indonesia,Urea,5654692.0
2007,Indonesia,Urea,5865856.0
2008,Indonesia,Urea,6213292.0
2009,Indonesia,Urea,6874630.0
2010,Indonesia,Urea,6721947.0
2011,Indonesia,Urea,6743422.0
