Year,Area,Item,Value
2011,Cambodia,PK compounds,70.0
2005,Cambodia,Potassium chloride (muriate of potash) (MOP),107.0
2006,Cambodia,Potassium chloride (muriate of potash) (MOP),183.0
2007,Cambodia,Potassium nitrate,8.0
2007,Cambodia,Superphosphates above 35%,20.0
2009,Cambodia,Superphosphates above 35%,720.0
2010,Cambodia,Superphosphates above 35%,70.0
2011,Cambodia,Superphosphates above 35%,6162.0
2004,Cambodia,Urea,309.0
2005,Cambodia,Urea,55675.0
2006,Cambodia,Urea,75890.0
2007,Cambodia,Urea,2559.0
2009,Cambodia,Urea,13377.0
2010,Cambodia,Urea,16129.0
2011,Cambodia,Urea,40629.0
2009,Cambodia,Urea and ammonium nitrate solutions (UAN),483.0
2010,Cambodia,Urea and ammonium nitrate solutions (UAN),1476.0
2011,Cambodia,Urea and ammonium nitrate solutions (UAN),294.0
2009,"China, Hong Kong SAR",Ammonium nitrate (AN),562.0
2010,"China, Hong Kong SAR",Ammonium nitrate (AN),582.0
2011,"China, Hong Kong SAR",Ammonium nitrate (AN),2087.0
2009,"China, Hong Kong SAR",Ammonium sulphate,20.0
2010,"China, Hong Kong SAR",Ammonium sulphate,19.0
2011,"China, Hong Kong SAR",Ammonium sulphate,81.0
2011,"China, Hong Kong SAR",Diammonium phosphate (DAP),2.0
2009,"China, Hong Kong SAR",NPK fertilizers,43.0
2010,"China, Hong Kong SAR",NPK fertilizers,2040.0
2011,"China, Hong Kong SAR",NPK fertilizers,1262.0
2010,"China, Hong Kong SAR",PK compounds,35.0
2009,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),22.0
2010,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),6.0
2011,"China, Hong Kong SAR",Potassium chloride (muriate of potash) (MOP),3.0
2011,"China, Hong Kong SAR",Potassium nitrate,12.0
2010,"China, Hong Kong SAR",Potassium sulphate (sulphate of potash) (SOP),6.0
2011,"China, Hong Kong SAR",Superphosphates above 35%,10.0
2009,"China, Hong Kong SAR",Urea,535.0
2010,"China, Hong Kong SAR",Urea,2283.0
2011,"China, Hong Kong SAR",Urea,3215.0
2012,"China, Macao SAR","Ammonia, anhydrous",0.0
2013,"China, Macao SAR","Ammonia, anhydrous",0.0
2014,"China, Macao SAR","Ammonia, anhydrous",0.0
2015,"China, Macao SAR","Ammonia, anhydrous",0.0
2016,"China, Macao SAR","Ammonia, anhydrous",0.0
2017,"China, Macao SAR","Ammonia, anhydrous",0.0
2012,"China, Macao SAR",Ammonium nitrate (AN),0.0
2013,"China, Macao SAR",Ammonium nitrate (AN),0.0
2014,"China, Macao SAR",Ammonium nitrate (AN),0.0
2015,"China, Macao SAR",Ammonium nitrate (AN),0.0
2016,"China, Macao SAR",Ammonium nitrate (AN),0.0
2017,"China, Macao SAR",Ammonium nitrate (AN),0.0
2012,"China, Macao SAR",Ammonium sulphate,0.0
2013,"China, Macao SAR",Ammonium sulphate,0.0
2014,"China, Macao SAR",Ammonium sulphate,0.0
2015,"China, Macao SAR",Ammonium sulphate,0.0
2016,"China, Macao SAR",Ammonium sulphate,0.0
2017,"China, Macao SAR",Ammonium sulphate,0.0
2012,"China, Macao SAR",Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2013,"China, Macao SAR",Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2014,"China, Macao SAR",Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2015,"China, Macao SAR",Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2016,"China, Macao SAR",Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2017,"China, Macao SAR",Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2012,"China, Macao SAR",Diammonium phosphate (DAP),0.0
2013,"China, Macao SAR",Diammonium phosphate (DAP),0.0
2014,"China, Macao SAR",Diammonium phosphate (DAP),0.0
2015,"China, Macao SAR",Diammonium phosphate (DAP),0.0
2016,"China, Macao SAR",Diammonium phosphate (DAP),0.0
2017,"China, Macao SAR",Diammonium phosphate (DAP),0.0
2012,"China, Macao SAR",Fertilizers n.e.c.,0.0
2013,"China, Macao SAR",Fertilizers n.e.c.,0.0
2014,"China, Macao SAR",Fertilizers n.e.c.,0.0
2015,"China, Macao SAR",Fertilizers n.e.c.,0.0
2016,"China, Macao SAR",Fertilizers n.e.c.,0.0
2017,"China, Macao SAR",Fertilizers n.e.c.,0.0
2012,"China, Macao SAR",Monoammonium phosphate (MAP),0.0
2013,"China, Macao SAR",Monoammonium phosphate (MAP),0.0
2014,"China, Macao SAR",Monoammonium phosphate (MAP),0.0
2015,"China, Macao SAR",Monoammonium phosphate (MAP),0.0
2016,"China, Macao SAR",Monoammonium phosphate (MAP),0.0
2017,"China, Macao SAR",Monoammonium phosphate (MAP),0.0
2009,"China, Macao SAR",NPK fertilizers,13.0
2012,"China, Macao SAR",NPK fertilizers,0.0
2013,"China, Macao SAR",NPK fertilizers,0.0
2014,"China, Macao SAR",NPK fertilizers,0.0
2015,"China, Macao SAR",NPK fertilizers,0.0
2016,"China, Macao SAR",NPK fertilizers,0.0
2017,"China, Macao SAR",NPK fertilizers,0.0
2012,"China, Macao SAR","Other nitrogenous fertilizers, n.e.c.",0.0
2013,"China, Macao SAR","Other nitrogenous fertilizers, n.e.c.",0.0
2014,"China, Macao SAR","Other nitrogenous fertilizers, n.e.c.",0.0
2015,"China, Macao SAR","Other nitrogenous fertilizers, n.e.c.",0.0
2016,"China, Macao SAR","Other nitrogenous fertilizers, n.e.c.",0.0
2017,"China, Macao SAR","Other nitrogenous fertilizers, n.e.c.",0.0
2012,"China, Macao SAR",Other NK compounds,0.0
2013,"China, Macao SAR",Other NK compounds,0.0
2014,"China, Macao SAR",Other NK compounds,0.0
2015,"China, Macao SAR",Other NK compounds,0.0
2016,"China, Macao SAR",Other NK compounds,0.0
2017,"China, Macao SAR",Other NK compounds,0.0
2012,"China, Macao SAR",Other NP compounds,0.0
2013,"China, Macao SAR",Other NP compounds,0.0
2014,"China, Macao SAR",Other NP compounds,0.0
2015,"China, Macao SAR",Other NP compounds,0.0
2016,"China, Macao SAR",Other NP compounds,0.0
2017,"China, Macao SAR",Other NP compounds,0.0
2012,"China, Macao SAR","Other phosphatic fertilizers, n.e.c.",0.0
2013,"China, Macao SAR","Other phosphatic fertilizers, n.e.c.",0.0
2014,"China, Macao SAR","Other phosphatic fertilizers, n.e.c.",0.0
2015,"China, Macao SAR","Other phosphatic fertilizers, n.e.c.",0.0
2016,"China, Macao SAR","Other phosphatic fertilizers, n.e.c.",0.0
2017,"China, Macao SAR","Other phosphatic fertilizers, n.e.c.",0.0
2012,"China, Macao SAR","Other potassic fertilizers, n.e.c.",0.0
2013,"China, Macao SAR","Other potassic fertilizers, n.e.c.",0.0
2014,"China, Macao SAR","Other potassic fertilizers, n.e.c.",0.0
2015,"China, Macao SAR","Other potassic fertilizers, n.e.c.",0.0
2016,"China, Macao SAR","Other potassic fertilizers, n.e.c.",0.0
